Description,Niveau,Prix,Fiabilite
python web scraping data mining data scraping web scraper,2.0,4.351,0.8430298510785268
web scraping data scraping data extraction in python,2.0,2.176,0.8089454238041063
scrape crawl data mining any website,2.0,4.351,0.7464785219693459
build web scraper with octoparse in 24 hours,2.0,10.876,0.8051614192821795
make professional excel and google sheets,3.0,21.752,0.8585257795366545
data mining or be your professional web scraper,2.0,2.176,0.860276241971083
professional excel templates do macros vba formulas excel automation,2.0,2.176,0.8363871076599629
import products reviews from amazon to shopify,2.0,1.088,0.8388138423378811
solve or create formulas for google sheets and excel,3.0,2.176,0.8724926196797043
python web scraping and automation,2.0,10.876,0.8199455948488236
web scraping data mining any website upto 50k in 1 day,2.0,2.176,0.872664979630325
build excel spreadsheet charts pivottables macros,2.0,4.351,0.8341734323381751
assist you with excel formulas charts and data entry,2.0,2.176,0.811465360543699
scrape google maps businesses data with emails,2.0,2.176,0.8582452905305885
scrape active targeted email and data from any social media platform,2.0,1.088,0.7937830871538861
web scraping data extraction data mining from any website,2.0,2.176,0.8458915708238293
advance excel automation vba python web scraping,1.0,2.176,0.751872156562704
web scraping using excel vba,2.0,2.176,0.859116718105856
automate your google sheets scripts spreadsheets and automation,2.0,1.088,0.8405866299424771
microsoft excel formulas automation macros and vba,2.0,3.263,0.8295706640593554
python web scraping data mining from any website,2.0,4.351,0.8228329649967864
professionally do your web scraping or python scripts,2.0,13.051,0.8471243372023806
scrape products and upload in shopify or woocommerce,2.0,1.088,0.793820707714664
excel formulas macros vba task automation forms,2.0,1.088,0.8308712381619898
excel spreadsheet excel vba excel formulas excel macros google sheets scripts,2.0,2.176,0.8174910723276766
automate your google sheet using scripts,2.0,1.088,0.8558016933219186
data entry data mining web scraping and data extraction,1.0,1.088,0.7194911064004395
anything you need in excel vba and macros very fast,1.0,17.401,0.8505311998813924
anything in microsoft excel excel vba excel macro formulas and dashboard,1.0,6.526,0.8037038940366039
web scraping data scraping scraping emails website scraping,2.0,2.176,0.8061595923300592
vba programming macros and advanced excel contact first,1.0,5.438,0.8431441050802277
your excel google spreadsheet formulas functions vba consultant,2.0,2.176,0.8192531374740704
web scraping data extraction and automate any web tasks,1.0,10.876,0.7867294286862891
python programs for data scrapping and automation,1.0,5.438,0.7252035597620756
web scraping or web automation,2.0,2.176,0.7804778061957706
scala and spark related tasks,2.0,6.526,0.8318977369354827
manage your data related tasks sql etl csv json excel,2.0,2.176,0.7878466721525715
your python work scripts dataanalysis csv api,3.0,10.876,0.7882519690282914
python script to parse extract convert data csv json html xml,1.0,10.876,0.7429551564139516
implement all your data needs in aws and oracle cloud,1.0,1.088,0.7349300245465662
automation and build bots in python and selenium,2.0,2.176,0.7166193810905721
automate your business processes through custom webforms,2.0,543.777,0.40938389085035876
google sheets and docs api integrations,2.0,54.378,0.713048267717348
python program for web automation and bots,2.0,10.876,0.7909781851224409
scrap zillow in less than 24 hours using rest apis,1.0,6.526,0.7691706387241728
big data analytics in pyspark kafka sqs aws sagemaker,1.0,8.701,0.7727891041273091
a python script to parse extract convert data from csv xml json html txt,2.0,21.752,0.8293460727077775
help you big data spark hive hadoop nosql database,2.0,1.088,0.7691706387241728
build data pipeline with python cloud,2.0,7.613,0.7194911064004395
make any labview code or project,2.0,2.176,0.7972353293748541
a python script for fetching data from any api,1.0,4.351,0.7674609744596389
data scientist data engineer data analysis or visualization,1.0,5.438,0.6167757066627451
clean and transform dataset for data analysis and visualization,1.0,4.351,0.5809402158035948
aws data engineer,1.0,5.438,0.6752657952862129
custom scripts get data from pdf and webs automatically,3.0,15.226,0.6167757066627451
data engineering guy,1.0,1.088,0.40938389085035876
audit help or develop ssis and stored procedure in sql server,1.0,8.701,0.5234946419594957
analysis using r python and sas languages your tasks,1.0,6.526,0.5809402158035948
develop etl pipeline using azure data factory and databricks,1.0,3.263,0.40938389085035876
custom glue etl jobs,1.0,32.627,0.5809402158035948
extract text from image file,1.0,4.351,0.40938389085035876
custom object detection and model training using yolov5,1.0,17.401,0.767709174000645
build apache airflow etl pipelines,1.0,2.176,0.6972068934358862
automate your google sheets drive gmail calendar,1.0,6.526,0.40938389085035876
data augmentation images,1.0,6.526,0.6418029522161849
use datafactory and databricks to solve your problems,1.0,3.263,0.5234946419594957
produce gps machine control model or earthwork takeoff,1.0,10.876,0.40938389085035876
integrate api with google sheets or docs using apps script,2.0,6.526,0.6605463339332744
advanced data analysis using r and python,1.0,8.701,0.8400849468920055
scrapping with scrapy python,2.0,2.176,0.6418029522161849
fastload tpt scripts bteqs and tdsql,2.0,3.263,0.8383581696817393
code powershell and python scripts with sql server,1.0,2.176,0.6907114621444218
etl elt based task with apache spark and python,1.0,10.876,0.40938389085035876
build end to end data integration pipelines,1.0,10.876,0.7817169347284559
data cleaning wrangling and organize your dataset using python,1.0,1.088,0.40938389085035876
get new sources and splunk troubleshooting,1.0,5.438,0.6167757066627451
pdf data extraction image ocr web scraping in python,2.0,10.876,0.8094691994786807
prepare alteryx workflows and excel sheets,1.0,5.438,0.6167757066627451
spark or pyspark programs for your etl,1.0,5.438,0.5234946419594957
data engineering data warehouse databases related project,1.0,5.438,0.40938389085035876
high quality website,2.0,158.783,0.40938389085035876
implement optimization methods for your research,1.0,2.176,0.5234946419594957
help in etl data transformation data pipelines,2.0,3.263,0.8383581696817393
your data science and machine learning models in python and r,1.0,21.752,0.40938389085035876
and build bots script automation and web scraping,1.0,1.088,0.7057001703361976
a sap gui automation script for you,1.0,5.438,0.40938389085035876
optimization of process parameter for your research,1.0,2.176,0.6077026272186125
connect any data source to bigquery,1.0,10.876,0.6167757066627451
data warehouse etl data extraction data visualization,1.0,1.088,0.5234946419594957
select engineering material for you using material selector,2.0,3.263,0.40938389085035876
migrate your prem data to aws cloud,1.0,10.876,0.40938389085035876
pfd professional pid from pfd autocad plant 3d or visio,1.0,2.176,0.6167757066627451
data analysis and visualization with r studio bi data studio,1.0,3.263,0.5234946419594957
develop data etl pipelines sql and data analytics,2.0,1.088,0.40938389085035876
accomplish any big data activities like etl analytical processing migrations,1.0,4.351,0.6167757066627451
help you with alteryx pandas sql and tableau for data cleansing and automation,1.0,3.263,0.7790719509500846
help you in data engineering in azure aws and gcp,1.0,10.876,0.40938389085035876
make your python work scripts data analysis csv api,1.0,1.088,0.5234946419594957
data etl and data orchestration workflow,1.0,10.876,0.5234946419594957
machine learning models for predictive analysis,2.0,10.876,0.40938389085035876
data integration etl job using talend,1.0,1.088,0.687228727350409
data lakehouse and data engineer with aws and azure,1.0,2.176,0.8267383660435077
data engineering pipeline using aws azure gcp spark,1.0,2.176,0.40938389085035876
develop and modify existing ssis packages,1.0,4.351,0.40938389085035876
develop etl pipelines in azuredatafactory synapse databricks snowflake python,1.0,7.613,0.6167757066627451
api data collection scripts in python,1.0,3.263,0.5809402158035948
machine learning data science and eda projects with python,2.0,6.526,0.8537775676752782
python programs for web scraping and web automation,1.0,4.351,0.5025548562811158
and build a full dbt project snowflake,2.0,108.756,0.40938389085035876
administrate and install your database and do data engineering,3.0,15.226,0.8329530956439273
bar bending schedule bbs,1.0,4.351,0.5900829808561056
schedule data extraction from bigquery and dump it into google drive,1.0,6.526,0.7429551564139516
data warehouse etl ssis ssrs ssas data visualization,1.0,5.438,0.6734841528034008
topographic map using surveys data,1.0,5.438,0.35207014613130855
python and machine learning projects,1.0,2.176,0.5809402158035948
data integration and implementation projects,2.0,21.752,0.8257217692865116
data integration pipelines using talend,1.0,2.176,0.5025548562811158
automate google sheets using apps script or python,2.0,5.438,0.7429551564139516
develop specialised programs to extract data from pdf and webs automatically,1.0,26.102,0.6724261830516075
help you create apache airflow dags and etl pipelines using python and docker,1.0,5.438,0.8019827923533767
data science and etl pipeline development,1.0,13.051,0.5234946419594957
data cleaning data wrangling or visualization in python,2.0,8.701,0.8055660500455899
web scraping extraction and data collection,1.0,1.088,0.40938389085035876
help with data engineering pipelines in python and gcp,1.0,8.701,0.40938389085035876
use pyspark and datadricks in your etl pipeline,2.0,21.752,0.5234946419594957
data engineering pipeline using spark hive sql hbase,1.0,2.176,0.6044401925294902
nft collections from opensea data mining scraping floor price,1.0,6.526,0.38482085739933725
python web scraping and data extraction for any website,1.0,5.438,0.6167757066627451
historical web scraping and any python programming tasks,1.0,1.088,0.6418029522161849
integrate apis into excel google forms and sheets,1.0,10.876,0.7349300245465662
develop your data project in python,2.0,6.526,0.8537775676752782
roof measurements similar to eagle view,1.0,2.176,0.5234946419594957
use machine learning skills to modify gan for data synthesis,2.0,15.226,0.40938389085035876
data engineering pipeline using google cloud platform,1.0,10.876,0.8023888426535167
connect any api with google sheet,2.0,9.788,0.7867294286862891
be web scraping data from the target website,1.0,10.876,0.40938389085035876
web scraping automation with python,1.0,8.701,0.687228727350409
stock market data for 1 to 1000 tickers since ipo,1.0,2.176,0.40938389085035876
assist in engineering economics problems,1.0,4.351,0.3873860350500268
excel related work dashboards automation and vbas,1.0,1.088,0.40938389085035876
scrap ecommerce site for products and reviews,1.0,4.351,0.08187677817007176
any etl pipeline using azure data factory,2.0,21.752,0.8257217692865116
data analysis using spss and make a report,1.0,1.088,0.6167757066627451
eda features engineering and modeling in python,1.0,4.351,0.6167757066627451
business intelligence and data warehousing project,1.0,6.526,0.5809402158035948
anything related to ssis ssas ssms ssrs etl data viz,1.0,2.176,0.6605463339332744
big data analysis using pyspark databricks sql lambda and aws,1.0,4.351,0.7057001703361976
a webscraper or webcrawler for your data extraction needs in python,1.0,8.701,0.7843705829803926
web scraping data mining and data extraction,1.0,1.088,0.8117015350798469
solution for data related problems,2.0,2.176,0.8267383660435077
data analysis in pandas numpy seaborn and matplotlib,1.0,1.088,0.8117015350798469
develops etl using data stage ssis informatica,2.0,8.701,0.8400849468920055
web and window task automation,2.0,17.401,0.767709174000645
make super seo service package for rankings,2.0,32.627,0.8394742023221026
migrate data from source to cloud,1.0,10.876,0.7817169347284559
python programs for web scraping and automation,1.0,4.351,0.5900829808561056
help you with artificial intelligence,1.0,10.876,0.7817169347284559
whatever you need to make up with your data,1.0,1.088,0.8117015350798469
data science sql and machine learning solutions,1.0,1.088,0.8117015350798469
data integration etl job using talend,1.0,1.088,0.8117015350798469
scrape data from any website,1.0,4.351,0.40938389085035876
uml diagrams like class use case activity object sequence erd dfd diagrams,1.0,1.088,0.8117015350798469
code to load files to database tables,2.0,2.176,0.8267383660435077
a google apps script for sheet form drive,2.0,3.263,0.8383581696817393
data analysis by python sql and tableau,1.0,1.088,0.8117015350798469
data analysis and machine learning in python and excel,2.0,2.176,0.8267383660435077
build recurring api data collection tools,1.0,4.351,0.5900829808561056
data engineering development using python and pysaprk,2.0,8.701,0.8400849468920055
data cleaning data wrangling and visualization,1.0,1.088,0.8117015350798469
bulk export import data from csv excel text to database,2.0,6.526,0.8537775676752782
setup you channelengine api connection,2.0,2.176,0.8267383660435077
cfd simulation and hydrostatic calculations,2.0,108.756,0.8042977134810643
help you with any google sheet project,1.0,1.088,0.8117015350798469
help in industrial engineering projects articles designs,1.0,1.088,0.8117015350798469
big data analysis in pyspark and aws gcp azure cloud,1.0,3.263,0.8383581696817393
assist in data engineering and cloud computing,2.0,32.627,0.8394742023221026
manage your data related tasks sql etl csv json excel,1.0,1.088,0.8117015350798469
set up your airbyte pipelines,2.0,21.752,0.8257217692865116
a custom api to integrate with 3rd party systems or apps,2.0,76.129,0.8066337473092376
data analysis and website development,2.0,6.526,0.8537775676752782
help in calculus linear algebra numerical analysis geometry,1.0,1.088,0.8117015350798469
assist you in your omic data analysis,2.0,6.526,0.8537775676752782
develop ssis package to import a delimited file into a database table,2.0,8.701,0.8400849468920055
convert your etl or elt requirements into sql queries,2.0,3.263,0.8383581696817393
help you in data modelling etl data warehouse solutions,2.0,3.263,0.8383581696817393
help in calculus discrete math business math geometry ode,1.0,1.088,0.8117015350798469
plot 2d and 3d curves using matlab and debug matlab code,1.0,1.088,0.8117015350798469
be you azure architect databricks synapse power bi and py developer and support,2.0,8.701,0.8400849468920055
build your business etl pipelines to move data seamlessly,2.0,21.752,0.8257217692865116
and develope database projects queries er diagrams,1.0,5.438,0.5234946419594957
excel csv data cleaning using python,1.0,1.088,0.8117015350798469
develop qlik app and automated data loader for qlik apps,1.0,9.788,0.7747154418862047
your data integration and analytics,1.0,9.788,0.7747154418862047
bigquery queries for you,1.0,4.351,0.5900829808561056
collect targeted niche email list for email marketing in 24,1.0,1.088,0.8117015350798469
make it intelligenza artificiale,1.0,10.876,0.7817169347284559
help in operation research tasks,1.0,1.088,0.8117015350798469
real estate skip tracing and llc skip tracing in bulk,1.0,1.088,0.8117015350798469
aws data engineer,1.0,10.876,0.7817169347284559
data entry and be your virtual assistant,2.0,3.263,0.8383581696817393
assist you in linear algebra calculus discrete math ode pde,1.0,1.088,0.8117015350798469
help in ergonomic human factor and work study,1.0,1.088,0.8117015350798469
build data and etl pipeline,1.0,1.088,0.8117015350798469
help in statistical quality control tasks,1.0,1.088,0.8117015350798469
process the data and develop etl pipelines in python,2.0,2.176,0.8267383660435077
python scripts for data extraction,1.0,6.526,0.8537775676752782
perform data entry services data management services,2.0,3.263,0.8383581696817393
extract data from online platforms,2.0,2.176,0.8267383660435077
project management primavera p6,2.0,2.176,0.8267383660435077
edit and transform datasets for analysis,2.0,41.327,0.771696797298679
azure data solution architecture,1.0,9.788,0.7747154418862047
extract data from zerodha kiteconnect using api,2.0,6.526,0.8537775676752782
adp annual delivery program for lng oil and gas company,2.0,216.423,0.7307604676796035
help you in mathematics problems,2.0,3.263,0.8383581696817393
projects big data spark pyspark hadoop hive scala databricks ml,2.0,6.526,0.8537775676752782
integrate your machine learning models with apps,2.0,17.401,0.6605463339332744
big data solutions using hadoop spark hive etc,1.0,8.701,0.7194911064004395
the script which converts the google sheet into form,2.0,3.263,0.8383581696817393
clean or create visuals using your data in python,1.0,1.088,0.5234946419594957
your data science ml projects in rapid miner,2.0,2.176,0.8267383660435077
python scripts data parsing converting excel csv json txt,1.0,21.752,0.6289668931718613
advanced analytics and etl pyspark databricks adf delta lake,1.0,9.788,0.7747154418862047
build python projects and web automation projects,1.0,2.176,0.35207014613130855
data engineering related work for you,1.0,10.876,0.7817169347284559
google spreadsheets automation using python scripts,2.0,10.876,0.5234946419594957
convert your word pdf to word ppp exel,1.0,1.088,0.8117015350798469
cloud data engineer jobs,2.0,6.526,0.8537775676752782
assist you in arena simulation and simio tasks,1.0,1.088,0.8117015350798469
data pipelines and upgrade existing data pipelines,2.0,108.756,0.8042977134810643
develop or optimize apache spark job,1.0,21.752,0.8257217692865116
any machine learning and deep learning project,1.0,13.051,0.40938389085035876
process clean and transform data,2.0,2.176,0.8267383660435077
data science analysis and machine learning in python,1.0,4.351,0.5900829808561056
a python script that will help you with your data analysis,1.0,1.088,0.8117015350798469
professionally automate your data from any to any form,2.0,8.701,0.8400849468920055
wonderful tools of scraping data by using scarpy and convert into json,2.0,21.752,0.8257217692865116
give you extraordinary orientation data sciences,1.0,4.351,0.5900829808561056
quantity estimation and billing for cost estimation,2.0,2.176,0.8267383660435077
complete azure data engineer course recording videos,1.0,4.351,0.5900829808561056
help to solve coding problems in scala spark bigdata,2.0,2.176,0.8267383660435077
offer services azure data engineering pyspark,2.0,2.176,0.8267383660435077
data simulation in aspen flow sheet production and economic estimations,1.0,1.088,0.8117015350798469
excel data entry form with database,2.0,2.176,0.8267383660435077
scrape websites and data analysis for you using python,2.0,6.526,0.8537775676752782
data cleaning and apply machine learning models in python,2.0,2.176,0.8267383660435077
web scraping data mining in 5 hours,1.0,1.088,0.8117015350798469
data entry typing data entry operator copy paste ms office to pdf converter,1.0,1.088,0.8117015350798469
promote your business through add posting,2.0,2.176,0.8267383660435077
help you in building optimized etl and data transformation logics,2.0,3.263,0.8383581696817393
math calculus numerical methods differential equation,2.0,2.176,0.8267383660435077
android or ios app scraping and crawling,1.0,5.438,0.8019827923533767
perform data cleaning preprocessing with python excel,2.0,2.176,0.8267383660435077
automate excel to work with any device and any operating system,2.0,14.139,0.7116576410436324
consult integration project in ecommerce,2.0,85.917,0.8031130286369451
analyze or process your data a data scientist,2.0,65.254,0.7749450337992734
a python script to parse extract convert data,3.0,16.314,0.8439467302736793
automate or analyse using python aws sql docker etc,2.0,21.752,0.8257217692865116
build you an etl tool to improve your data pipeline,2.0,43.503,0.771696797298679
excel formula automation programming to vanish your worries,1.0,1.088,0.8117015350798469
search international paid journal that you need,1.0,1.088,0.8117015350798469
any data etl pipeline or ingestion or modeling,1.0,4.351,0.5900829808561056
macros that integrate data across microsoft office,2.0,21.752,0.8257217692865116
work any data related tasks,2.0,6.526,0.8537775676752782
advance statistical analysis,1.0,1.088,0.6289668931718613
integrate your data with talend via etl process,1.0,10.876,0.5234946419594957
clean big data using python pandas and numpy,2.0,1.088,0.8117015350798469
eventbrite promotion flyers webinars promotion,2.0,2.176,0.8267383660435077
an integration between different systems,2.0,43.503,0.771696797298679
reverse engineering for android or ios apk,2.0,188.147,0.7307604676796035
code pyspark pandas spark scala etl jobs for you,1.0,5.438,0.8019827923533767
extract data from any source for you,1.0,4.351,0.5900829808561056
any type of aws services,1.0,2.176,0.6605463339332744
review your resume and rewrite it to make it look professional,1.0,1.088,0.8117015350798469
etl development and transformations using odi 12c,1.0,1.088,0.8117015350798469
instagram promotion for instagram growth,2.0,3.263,0.8383581696817393
build a full microsoft access application for you,1.0,5.438,0.8019827923533767
unlock documents from scribd and give you the file,1.0,1.088,0.8117015350798469
you with the data desired,1.0,10.876,0.7817169347284559
an end to end data pipeline in aws,2.0,21.752,0.8257217692865116
clean and efficient sql queries and help figure out data solutions,2.0,2.176,0.8267383660435077
data scraping for websites,1.0,1.088,0.8117015350798469
python scripts for you,1.0,4.351,0.5900829808561056
python script data extraction json txt csv conversion api logs,1.0,1.088,0.8117015350798469
help you in etl through azure data factory databricks,1.0,1.088,0.8117015350798469
scrape data from medium website,2.0,2.176,0.8267383660435077
extract data from scanned pdf and images,1.0,1.088,0.8117015350798469
a python script to extract data from xml or json,2.0,8.701,0.8400849468920055
assist you in numerical methods pdes odes,2.0,2.176,0.8267383660435077
quality python data science projects in jupyter notebooks,1.0,4.351,0.5900829808561056
the material takeoff and cost estimation for all construction trades,2.0,3.263,0.8383581696817393
help you to integrate undrestand and explore your database,2.0,3.263,0.8383581696817393
your gitlab ci cd pipeline,2.0,8.701,0.8400849468920055
tableau qlikview oracle data integrator snowflake redshift informatica etl,2.0,87.005,0.8031130286369451
python work dataprocessing scripts datatransformation csv api etl,2.0,3.263,0.8383581696817393
transform data of all kinds,2.0,21.752,0.8257217692865116
web yellow pages scraper and google map data scraping,1.0,1.088,0.8117015350798469
perform data analysis using big data hadoop pyspark scala,1.0,6.526,0.6167757066627451
financial data scraping,1.0,1.088,0.40938389085035876
code python reusable web scraper bot data scraper,1.0,6.526,0.5234946419594957
generate and transform your data in 24hrs,1.0,1.088,0.8117015350798469
data pipelines with airflow,1.0,21.752,0.40938389085035876
perform any data transformation from any data source,1.0,4.351,0.5900829808561056
hive scala spark sql etl big data cloudera tasks,2.0,3.263,0.8383581696817393
develop jupyter notebook for python and data analysis,2.0,3.263,0.6167757066627451
civil engineering related data,1.0,6.526,0.5234946419594957
sql queries design oracle mysql postgresql informatica talend work,1.0,4.351,0.5900829808561056
data analysis machine learning in python r tableau power bi excel,1.0,5.438,0.8019827923533767
web scraper web scraping data extraction bots with python,1.0,2.176,0.8267383660435077
data engineering pipeline using azure cloud platform,2.0,2.176,0.8267383660435077
data transformation and integration with talend,1.0,1.088,0.8117015350798469
give solution of big data and data science task and machine learning,1.0,10.876,0.7817169347284559
web application using nodejs expressjs and mongo,1.0,5.438,0.8019827923533767
big data engineering and data warehouse related work,2.0,3.263,0.8383581696817393
program in matlab or help to process data or signals,1.0,1.088,0.8117015350798469
clean your data and get it into an unified format using python,1.0,5.438,0.8019827923533767
wordpress woocommerece data entry,2.0,2.176,0.8267383660435077
automate web tasks with python in 12hrs,2.0,6.526,0.8537775676752782
your dataset database in sql server,2.0,2.176,0.8267383660435077
